,ID,Prediction
0,10,0.08055102563201345
1,100,0.03298441240990277
2,1000,0.029395854292811746
3,10000,0.009314775910364146
4,10009,0.07220458297928017
5,1001,0.06470967855291253
6,10010,0.35456810183433674
7,10012,0.11310346416300433
8,10014,0.35374410522652666
9,10016,0.03480372704746362
10,10017,0.023113188769847453
11,10023,0.024010804509957816
12,10028,0.07332822684226392
13,10029,0.3254214296817851
14,10030,0.0872270466663161
15,10034,0.061203778639986765
16,10037,0.05083492197097562
17,10041,0.028197158418170613
18,10045,0.34424253978779845
19,10047,0.0393284776696772
20,10049,0.023238597828922288
21,10052,0.026948378675453393
22,10055,0.10800678057095398
23,10057,0.08391766810281887
24,10061,0.03806087552392101
25,10065,0.0035598802395209583
26,10074,0.10932497312031432
27,10082,0.08644698387249171
28,10090,0.06265833157943977
29,10095,0.11947959155773134
30,10097,0.07990741384219645
31,101,0.01709162627126699
32,10102,0.030884790291749377
33,10104,0.11679485952721037
34,10107,0.07192159666834409
35,10108,0.09222270916947183
36,10112,0.18375813282522346
37,10115,0.03775003941974141
38,10118,0.3148012741316848
39,1012,0.05181485112923742
40,10120,0.04470196830057364
41,10122,0.03171683218742043
42,10123,0.07348397982009554
43,10125,0.051420121922965085
44,1013,0.020497834919672143
45,10130,0.036496172353455814
46,10140,0.023268131874764807
47,10141,0.03810160336405796
48,10148,0.04111534029890401
49,1015,0.07396179818811169
50,10157,0.09684946940812456
51,10163,0.018352345618165553
52,10172,0.09868963148683055
53,10173,0.032570216180502674
54,10174,0.03980566435478503
55,10175,0.031714861085640936
56,10178,0.038461961193270305
57,10181,0.048265289747741386
58,10182,0.06608685350052902
59,10183,0.048755421553381285
60,10185,0.053382049106321244
61,10187,0.14786429067297574
62,10188,0.05818224671800806
63,10190,0.08619827737214746
64,10192,0.03943985205650838
65,102,0.06950305368367961
66,10201,0.01843178577360248
67,10202,0.11715668692017948
68,10203,0.06241732962064667
69,10210,0.02847351207396711
70,10213,0.04621049900468473
71,10215,0.04335828381573062
72,10216,0.11792149219746222
73,10217,0.007508699079854927
74,10218,0.059057928169959785
75,1022,0.03460670500172343
76,10221,0.04131206236957898
77,10223,0.05965303956199079
78,10226,0.4390361880139185
79,10228,0.023865982773822837
80,10229,0.029075714814698003
81,1023,0.039539285714285714
82,10233,0.05202520596215366
83,10234,0.08647620578852001
84,10235,0.02808037620580199
85,10244,0.020761570690172794
