,ID,Prediction
0,10,0.1546155740173281
1,100,0.11787013303256645
2,1000,0.14026356682203847
3,10000,0.023496773632233178
4,10009,0.18729929276022822
5,1001,0.03501439776167534
6,10010,0.04672534347169384
7,10012,0.06704560098681842
8,10014,0.024796937997105327
9,10016,0.023646851940175684
10,10017,0.1619605471834206
11,10023,0.11287496212166023
12,10028,0.24501904149219964
13,10029,0.1897966793732639
14,10030,0.03921680658154514
15,10034,0.13682409207497936
16,10037,0.07391487649718703
17,10041,0.03493838434276987
18,10045,0.23691814410736642
19,10047,0.21564665565978838
20,10049,0.007681144820213631
21,10052,0.03653766718479837
22,10055,0.1400508754535338
23,10057,0.045637459069954776
24,10061,0.21372436468493505
25,10065,0.04667987245153494
26,10074,0.02401627858438879
27,10082,0.1488875650493759
28,10090,0.04635990140054664
29,10095,0.056931636646472474
30,10097,0.08370188496063344
31,101,0.0639465949882261
32,10102,0.01650002575152392
33,10104,0.033304832970435176
34,10107,0.047800871555120944
35,10108,0.029515056156988823
36,10112,0.020691208819317426
37,10115,0.02020433704346336
38,10118,0.13164320176817854
39,1012,0.06406298165894769
40,10120,0.028284278745258417
41,10122,0.01541495090814558
42,10123,0.08576288090626245
43,10125,0.08011311217072842
44,1013,0.029425367961091676
45,10130,0.02823721656469499
46,10140,0.09922991999488727
47,10141,0.053505092047897294
48,10148,0.031930357710632365
49,1015,0.12288256329930564
50,10157,0.06691237326165038
51,10163,0.1883805882436751
52,10172,0.0347058597392547
53,10173,0.028038762331189022
54,10174,0.12705469079273463
55,10175,0.0389320177583469
56,10178,0.2974347645983996
57,10181,0.034515014003649945
58,10182,0.11171494132302376
59,10183,0.04455071119466251
60,10185,0.20865236370882742
61,10187,0.08187499530180622
62,10188,0.1950650137091188
63,10190,0.08700400533443928
64,10192,0.07499379316297451
65,102,0.1958756311761894
66,10201,0.10270816918305309
67,10202,0.32630129802160757
68,10203,0.07169675718111618
69,10210,0.08716548840690831
70,10213,0.04077959689578058
71,10215,0.02562581220949347
72,10216,0.02292846024350977
73,10217,0.040521449903312586
74,10218,0.3611604616511786
75,1022,0.034767633855833355
76,10221,0.05617864344342899
77,10223,0.030658166115195198
78,10226,0.08835382620018208
